field1,field2,_GC_TYPE,_X,_Y
홍대동교,서울특별시 마포구 양화로 192 (동교동),정,126.92624716764955,37.5583290598026
합정푸르지오,"서울특별시 마포구 월드컵로3길 14 (합정동, 마포 한강 2차 푸르지오)",정,126.91234310193744,37.551035483061405
망원한강공원,서울특별시 마포구 마포나루길 435 (망원동),정,126.89629845189151,37.55404164655868
홍대역8번출구,서울특별시 마포구 양화로 166 (동교동),정,126.92416535911208,37.55674066771077
연희동,서울특별시 서대문구 연희로 97 (연희동),정,126.93051745735728,37.56680435581091
아현역대로,서울특별시 마포구 신촌로 262 (아현동),정,126.95482565303843,37.55705567562005
이대R,서울특별시 서대문구 이화여대길 34 (대현동),정,126.94594521448599,37.55845378728431
홍제역,서울특별시 서대문구 통일로 451 (홍제동),정,126.9438494484579,37.58866961750803
남가좌사거리,"서울특별시 서대문구 거북골로 84 (남가좌동, DMC에코자이104동)",정,126.91873736539529,37.57675366052287
신촌역,서울특별시 서대문구 신촌로 73 (창천동),정,126.9345208243381,37.55630759723991
경기대,서울특별시 서대문구 충정로 53 (충정로2가),정,126.96463239217655,37.56375159199409
신촌,서울특별시 서대문구 연세로 10-1 (창천동),정,126.93712513973817,37.556494903016635
연희DT,서울특별시 서대문구 연희로 144 (연희동),정,126.93389101141707,37.57019070919037
연세백양로,서울특별시 서대문구 연세로 50 (신촌동) 연세대학교,정,126.94375787677545,37.564652876572296
연대,서울특별시 서대문구 연세로 35 (창천동),정,126.93671487177869,37.55873098988508
북가좌DT,서울특별시 서대문구 응암로 85 (북가좌동),정,126.91149488536978,37.58057552112192
충정로역,서울특별시 서대문구 충정로 23,정,126.9629447458909,37.561142639950006
이대ECC,서울특별시 서대문구 이화여대길 52 (대현동) 이화여자대학교 B415호,정,126.95072850608696,37.56389683553231
아현역,"서울특별시 서대문구 신촌로35길 10 (북아현동, e편한세상신촌 4단지)",정,126.95589936361888,37.55799893115017
충정타워,"서울특별시 서대문구 서소문로 21, 충정타워빌딩 1층 (충정로3가)",정,126.96408650870457,37.559894955599084
연세종합관,"서울특별시 서대문구 연세로 50, 연세세브란스 종합관 (신촌동)",정,126.94375787677545,37.564652876572296
신촌명물거리,"서울특별시 서대문구 명물길 24, 1-5층 (창천동)",정,126.93813153063998,37.557793129077574
이대역,서울특별시 서대문구 신촌로 183 (대현동),정,126.94632273069567,37.5570719907678
연대동문,서울특별시 서대문구 성산로 565 (대신동),정,126.94634131637751,37.566418137805925
강남교보타워R,서울특별시 서초구 강남대로 465 (서초동),정,127.0241096776443,37.503756255120564
강남대로신사,서울특별시 서초구 강남대로 595 (잠원동),정,127.01953673906573,37.514852376597716
